"year","zone","group","gender","stage","measure","value"
"2012-2013","S01001849","All","Female","S4","Ratio",100
"2008-2009","S01001849","All","Female","S4","Ratio",100
"2012-2013","S01001849","All","Female","S4","Count",3
"2010-2011","S01001849","All","Female","S4","Ratio",100
"2005-2006","S01001850","All","All","S4","Count",18
"2010-2011","S01001850","Additional Support Needs","All","S4","Count",2
"2006-2007","S01001850","All","All","S4","Count",11
"2009-2010","S01001850","Additional Support Needs","All","S4","Count",0
"2007-2008","S01001850","All","All","S4","Count",4
"2010-2011","S01001850","All","All","S4","Count",9
"2010-2011","S01001850","All","Male","S4","Count",6
"2012-2013","S01001850","All","All","S4","Count",11
"2011-2012","S01001850","All","Male","S4","Count",4
"2008-2009","S01001850","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001850","Additional Support Needs","All","S4","Count",3
"2009-2010","S01001850","All","Male","S4","Count",5
"2009-2010","S01001850","All","All","S4","Count",13
"2012-2013","S01001850","All","Male","S4","Count",5
"2008-2009","S01001850","All","Male","S4","Count",5
"2011-2012","S01001850","Additional Support Needs","All","S4","Count",1
"2010-2011","S01001850","All","Female","S4","Count",3
"2002-2003","S01001850","All","All","S4","Count",15
"2009-2010","S01001850","All","Female","S4","Count",8
"2008-2009","S01001850","All","All","S4","Count",11
"2012-2013","S01001850","All","Female","S4","Count",6
"2003-2004","S01001850","All","All","S4","Count",10
"2011-2012","S01001850","All","All","S4","Count",10
"2008-2009","S01001850","All","Female","S4","Count",6
"2011-2012","S01001850","All","Female","S4","Count",6
"2004-2005","S01001850","All","All","S4","Count",8
"2010-2011","S01001850","All","All","S4","Ratio",100
"2008-2009","S01001850","All","All","S4","Ratio","91.7"
"2009-2010","S01001850","All","All","S4","Ratio","86.7"
"2011-2012","S01001850","All","All","S4","Ratio",100
"2012-2013","S01001850","All","All","S4","Ratio",100
"2002-2003","S01001850","All","All","S4","Ratio",100
"2010-2011","S01001850","Additional Support Needs","All","S4","Ratio",100
"2009-2010","S01001850","Additional Support Needs","All","S4","Ratio",0
"2008-2009","S01001850","Additional Support Needs","All","S4","Ratio",0
"2012-2013","S01001850","Additional Support Needs","All","S4","Ratio",100
"2011-2012","S01001850","Additional Support Needs","All","S4","Ratio",100
"2003-2004","S01001850","All","All","S4","Ratio","90.9"
"2004-2005","S01001850","All","All","S4","Ratio",100
"2005-2006","S01001850","All","All","S4","Ratio","94.7"
"2006-2007","S01001850","All","All","S4","Ratio",100
"2007-2008","S01001850","All","All","S4","Ratio",80
"2010-2011","S01001850","All","Male","S4","Ratio",100
"2011-2012","S01001850","All","Male","S4","Ratio",100
"2009-2010","S01001850","All","Male","S4","Ratio","83.3"
"2012-2013","S01001850","All","Male","S4","Ratio",100
"2008-2009","S01001850","All","Male","S4","Ratio","83.3"
"2010-2011","S01001850","All","Female","S4","Ratio",100
"2009-2010","S01001850","All","Female","S4","Ratio","88.9"
"2012-2013","S01001850","All","Female","S4","Ratio",100
"2008-2009","S01001850","All","Female","S4","Ratio",100
"2011-2012","S01001850","All","Female","S4","Ratio",100
"2009-2010","S01001851","All","All","S4","Count",5
"2010-2011","S01001851","All","All","S4","Count",5
"2011-2012","S01001851","All","All","S4","Count",8
"2007-2008","S01001851","All","All","S4","Count",7
"2008-2009","S01001851","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001851","Additional Support Needs","All","S4","Count",1
"2006-2007","S01001851","All","All","S4","Count",5
"2011-2012","S01001851","Additional Support Needs","All","S4","Count",0
"2010-2011","S01001851","All","All","S4","Ratio","83.3"
"2003-2004","S01001851","All","All","S4","Ratio",100
"2004-2005","S01001851","All","All","S4","Ratio",75
"2005-2006","S01001851","All","All","S4","Ratio",100
"2006-2007","S01001851","All","All","S4","Ratio","83.3"
"2007-2008","S01001851","All","All","S4","Ratio",100
"2008-2009","S01001851","All","All","S4","Ratio","85.7"
"2009-2010","S01001851","All","All","S4","Ratio","83.3"
"2011-2012","S01001851","All","All","S4","Ratio",100
"2012-2013","S01001851","All","All","S4","Ratio",100
"2002-2003","S01001851","All","All","S4","Ratio",100
"2010-2011","S01001851","Additional Support Needs","All","S4","Ratio",0
"2009-2010","S01001851","Additional Support Needs","All","S4","Ratio",0
"2008-2009","S01001851","Additional Support Needs","All","S4","Ratio",0
"2012-2013","S01001851","Additional Support Needs","All","S4","Ratio",100
"2011-2012","S01001851","Additional Support Needs","All","S4","Ratio",0
"2003-2004","S01001851","All","All","S4","Count",10
"2012-2013","S01001851","All","All","S4","Count",8
"2008-2009","S01001851","All","All","S4","Count",6
"2004-2005","S01001851","All","All","S4","Count",3
"2002-2003","S01001851","All","All","S4","Count",2
"2005-2006","S01001851","All","All","S4","Count",8
"2010-2011","S01001851","Additional Support Needs","All","S4","Count",0
"2009-2010","S01001851","Additional Support Needs","All","S4","Count",0
"2011-2012","S01001851","All","Male","S4","Count",5
"2010-2011","S01001851","All","Male","S4","Count",1
"2012-2013","S01001851","All","Male","S4","Count",1
"2009-2010","S01001851","All","Male","S4","Count",4
"2008-2009","S01001851","All","Male","S4","Ratio",100
"2010-2011","S01001851","All","Male","S4","Ratio",50
"2008-2009","S01001851","All","Male","S4","Count",3
"2009-2010","S01001851","All","Male","S4","Ratio",100
"2012-2013","S01001851","All","Male","S4","Ratio",100
"2011-2012","S01001851","All","Male","S4","Ratio",100
"2009-2010","S01001851","All","Female","S4","Count",1
"2011-2012","S01001851","All","Female","S4","Ratio",100
"2011-2012","S01001851","All","Female","S4","Count",3
"2010-2011","S01001851","All","Female","S4","Count",4
"2008-2009","S01001851","All","Female","S4","Count",3
"2009-2010","S01001851","All","Female","S4","Ratio",50
"2012-2013","S01001851","All","Female","S4","Ratio",100
"2008-2009","S01001851","All","Female","S4","Ratio",75
"2012-2013","S01001851","All","Female","S4","Count",7
"2010-2011","S01001851","All","Female","S4","Ratio",100
"2005-2006","S01001852","All","All","S4","Count",8
"2010-2011","S01001852","Additional Support Needs","All","S4","Count",0
"2006-2007","S01001852","All","All","S4","Count",9
"2009-2010","S01001852","Additional Support Needs","All","S4","Count",0
"2007-2008","S01001852","All","All","S4","Count",6
"2010-2011","S01001852","All","All","S4","Count",12
"2010-2011","S01001852","All","Male","S4","Count",6
"2012-2013","S01001852","All","All","S4","Count",8
"2011-2012","S01001852","All","Male","S4","Count",2
"2008-2009","S01001852","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001852","Additional Support Needs","All","S4","Count",2
"2009-2010","S01001852","All","Male","S4","Count",2
"2009-2010","S01001852","All","All","S4","Count",8
"2012-2013","S01001852","All","Male","S4","Count",6
"2008-2009","S01001852","All","Male","S4","Count",3
"2011-2012","S01001852","Additional Support Needs","All","S4","Count",0
"2010-2011","S01001852","All","Female","S4","Count",6
"2002-2003","S01001852","All","All","S4","Count",15
"2009-2010","S01001852","All","Female","S4","Count",6
"2008-2009","S01001852","All","All","S4","Count",5
"2012-2013","S01001852","All","Female","S4","Count",2
"2003-2004","S01001852","All","All","S4","Count",10
"2011-2012","S01001852","All","All","S4","Count",3
"2008-2009","S01001852","All","Female","S4","Count",2
"2011-2012","S01001852","All","Female","S4","Count",1
"2004-2005","S01001852","All","All","S4","Count",12
"2010-2011","S01001852","All","All","S4","Ratio",100
"2008-2009","S01001852","All","All","S4","Ratio",100
"2009-2010","S01001852","All","All","S4","Ratio",100
"2011-2012","S01001852","All","All","S4","Ratio",100
"2012-2013","S01001852","All","All","S4","Ratio",100
"2002-2003","S01001852","All","All","S4","Ratio",100
"2010-2011","S01001852","Additional Support Needs","All","S4","Ratio",0
"2009-2010","S01001852","Additional Support Needs","All","S4","Ratio",0
"2008-2009","S01001852","Additional Support Needs","All","S4","Ratio",0
"2012-2013","S01001852","Additional Support Needs","All","S4","Ratio",100
"2011-2012","S01001852","Additional Support Needs","All","S4","Ratio",0
"2003-2004","S01001852","All","All","S4","Ratio",100
"2004-2005","S01001852","All","All","S4","Ratio",100
"2005-2006","S01001852","All","All","S4","Ratio","88.9"
"2006-2007","S01001852","All","All","S4","Ratio",100
"2007-2008","S01001852","All","All","S4","Ratio","85.7"
"2010-2011","S01001852","All","Male","S4","Ratio",100
"2011-2012","S01001852","All","Male","S4","Ratio",100
"2009-2010","S01001852","All","Male","S4","Ratio",100
"2012-2013","S01001852","All","Male","S4","Ratio",100
"2008-2009","S01001852","All","Male","S4","Ratio",100
"2010-2011","S01001852","All","Female","S4","Ratio",100
"2009-2010","S01001852","All","Female","S4","Ratio",100
"2012-2013","S01001852","All","Female","S4","Ratio",100
"2008-2009","S01001852","All","Female","S4","Ratio",100
"2011-2012","S01001852","All","Female","S4","Ratio",100
"2004-2005","S01001853","All","All","S4","Ratio",100
"2009-2010","S01001853","All","Female","S4","Ratio",100
"2011-2012","S01001853","All","Female","S4","Ratio",100
"2005-2006","S01001853","All","All","S4","Ratio",100
"2010-2011","S01001853","All","Female","S4","Ratio",100
"2006-2007","S01001853","All","All","S4","Ratio",100
"2008-2009","S01001853","All","Male","S4","Ratio","66.7"
"2007-2008","S01001853","All","All","S4","Ratio",100
"2011-2012","S01001853","All","Male","S4","Ratio",100
"2012-2013","S01001853","All","All","S4","Count",2
"2002-2003","S01001853","All","All","S4","Count",6
"2003-2004","S01001853","All","All","S4","Count",7
"2004-2005","S01001853","All","All","S4","Count",7
"2005-2006","S01001853","All","All","S4","Count",5
"2006-2007","S01001853","All","All","S4","Count",9
"2007-2008","S01001853","All","All","S4","Count",8
"2008-2009","S01001853","All","All","S4","Count",3
"2009-2010","S01001853","All","All","S4","Count",9
"2012-2013","S01001853","All","Male","S4","Count",0
"2011-2012","S01001853","All","Male","S4","Count",3
"2008-2009","S01001853","All","Male","S4","Count",2
"2009-2010","S01001853","All","Male","S4","Count",4
"2010-2011","S01001853","All","Male","S4","Count",1
"2010-2011","S01001853","All","Female","S4","Count",4
"2008-2009","S01001853","All","Female","S4","Count",1
"2011-2012","S01001853","All","Female","S4","Count",3
"2012-2013","S01001853","All","Female","S4","Count",2
"2009-2010","S01001853","All","Female","S4","Count",5
"2010-2011","S01001853","All","All","S4","Count",5
"2011-2012","S01001853","All","All","S4","Count",6
"2010-2011","S01001853","All","All","S4","Ratio",100
"2012-2013","S01001853","All","Female","S4","Ratio",100
"2008-2009","S01001853","All","Female","S4","Ratio",100
"2011-2012","S01001853","All","All","S4","Ratio",100
"2008-2009","S01001853","All","All","S4","Ratio",75
"2010-2011","S01001853","All","Male","S4","Ratio",100
"2012-2013","S01001853","All","All","S4","Ratio",100
"2002-2003","S01001853","All","All","S4","Ratio",100
"2009-2010","S01001853","All","Male","S4","Ratio",100
"2003-2004","S01001853","All","All","S4","Ratio",100
"2009-2010","S01001853","All","All","S4","Ratio",100
"2011-2012","S01001853","Additional Support Needs","All","S4","Count",1
"2010-2011","S01001853","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001853","Additional Support Needs","All","S4","Count",0
"2008-2009","S01001853","Additional Support Needs","All","S4","Count",0
"2010-2011","S01001853","Additional Support Needs","All","S4","Ratio",0
"2009-2010","S01001853","Additional Support Needs","All","S4","Count",0
"2008-2009","S01001853","Additional Support Needs","All","S4","Ratio",0
"2009-2010","S01001853","Additional Support Needs","All","S4","Ratio",0
"2011-2012","S01001853","Additional Support Needs","All","S4","Ratio",100
"2009-2010","S01001854","All","All","S4","Count",7
"2010-2011","S01001854","All","All","S4","Count",12
"2011-2012","S01001854","All","All","S4","Count",10
"2007-2008","S01001854","All","All","S4","Count",12
"2008-2009","S01001854","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001854","Additional Support Needs","All","S4","Count",1
"2006-2007","S01001854","All","All","S4","Count",7
"2011-2012","S01001854","Additional Support Needs","All","S4","Count",3
"2010-2011","S01001854","All","All","S4","Ratio","92.3"
"2003-2004","S01001854","All","All","S4","Ratio","72.7"
"2004-2005","S01001854","All","All","S4","Ratio",100
"2005-2006","S01001854","All","All","S4","Ratio",80
"2006-2007","S01001854","All","All","S4","Ratio",100
"2007-2008","S01001854","All","All","S4","Ratio","92.3"
"2008-2009","S01001854","All","All","S4","Ratio",100
"2009-2010","S01001854","All","All","S4","Ratio","77.8"
"2011-2012","S01001854","All","All","S4","Ratio",100
"2012-2013","S01001854","All","All","S4","Ratio",100
"2002-2003","S01001854","All","All","S4","Ratio",90
"2010-2011","S01001854","Additional Support Needs","All","S4","Ratio",0
"2009-2010","S01001854","Additional Support Needs","All","S4","Ratio",0
"2008-2009","S01001854","Additional Support Needs","All","S4","Ratio",0
"2012-2013","S01001854","Additional Support Needs","All","S4","Ratio",100
"2011-2012","S01001854","Additional Support Needs","All","S4","Ratio",100
"2003-2004","S01001854","All","All","S4","Count",8
"2012-2013","S01001854","All","All","S4","Count",7
"2008-2009","S01001854","All","All","S4","Count",4
"2004-2005","S01001854","All","All","S4","Count",11
"2002-2003","S01001854","All","All","S4","Count",9
"2005-2006","S01001854","All","All","S4","Count",4
"2010-2011","S01001854","Additional Support Needs","All","S4","Count",0
"2009-2010","S01001854","Additional Support Needs","All","S4","Count",0
"2011-2012","S01001854","All","Male","S4","Count",7
"2010-2011","S01001854","All","Male","S4","Count",5
"2012-2013","S01001854","All","Male","S4","Count",4
"2009-2010","S01001854","All","Male","S4","Count",6
"2008-2009","S01001854","All","Male","S4","Ratio",100
"2010-2011","S01001854","All","Male","S4","Ratio",100
"2008-2009","S01001854","All","Male","S4","Count",3
"2009-2010","S01001854","All","Male","S4","Ratio",75
"2012-2013","S01001854","All","Male","S4","Ratio",100
"2011-2012","S01001854","All","Male","S4","Ratio",100
"2009-2010","S01001854","All","Female","S4","Count",1
"2011-2012","S01001854","All","Female","S4","Ratio",100
"2011-2012","S01001854","All","Female","S4","Count",3
"2010-2011","S01001854","All","Female","S4","Count",7
"2008-2009","S01001854","All","Female","S4","Count",1
"2009-2010","S01001854","All","Female","S4","Ratio",100
"2012-2013","S01001854","All","Female","S4","Ratio",100
"2008-2009","S01001854","All","Female","S4","Ratio",100
"2012-2013","S01001854","All","Female","S4","Count",3
"2010-2011","S01001854","All","Female","S4","Ratio","87.5"
"2008-2009","S01001855","All","All","S4","Count",6
"2009-2010","S01001855","All","All","S4","Count",8
"2011-2012","S01001855","All","All","S4","Count",6
"2012-2013","S01001855","All","All","S4","Count",7
"2002-2003","S01001855","All","All","S4","Count",7
"2010-2011","S01001855","Additional Support Needs","All","S4","Count",0
"2009-2010","S01001855","Additional Support Needs","All","S4","Count",0
"2008-2009","S01001855","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001855","Additional Support Needs","All","S4","Count",0
"2011-2012","S01001855","Additional Support Needs","All","S4","Count",0
"2003-2004","S01001855","All","All","S4","Count",4
"2004-2005","S01001855","All","All","S4","Count",4
"2005-2006","S01001855","All","All","S4","Count",8
"2006-2007","S01001855","All","All","S4","Count",5
"2007-2008","S01001855","All","All","S4","Count",9
"2010-2011","S01001855","All","Male","S4","Count",2
"2011-2012","S01001855","All","Male","S4","Count",5
"2009-2010","S01001855","All","Male","S4","Count",4
"2008-2009","S01001855","All","Male","S4","Count",4
"2012-2013","S01001855","All","Male","S4","Count",4
"2010-2011","S01001855","All","Female","S4","Count",1
"2012-2013","S01001855","All","Female","S4","Count",3
"2008-2009","S01001855","All","Female","S4","Count",2
"2011-2012","S01001855","All","Female","S4","Count",1
"2009-2010","S01001855","All","Female","S4","Count",4
"2010-2011","S01001855","All","All","S4","Count",3
"2010-2011","S01001855","All","All","S4","Ratio",100
"2012-2013","S01001855","All","Female","S4","Ratio",100
"2005-2006","S01001855","All","All","S4","Ratio",100
"2008-2009","S01001855","All","All","S4","Ratio",100
"2008-2009","S01001855","All","Male","S4","Ratio",100
"2009-2010","S01001855","All","All","S4","Ratio",100
"2006-2007","S01001855","All","All","S4","Ratio",100
"2011-2012","S01001855","All","All","S4","Ratio",100
"2011-2012","S01001855","All","Female","S4","Ratio",100
"2012-2013","S01001855","All","All","S4","Ratio",100
"2007-2008","S01001855","All","All","S4","Ratio",100
"2002-2003","S01001855","All","All","S4","Ratio",100
"2003-2004","S01001855","All","All","S4","Ratio",100
"2010-2011","S01001855","Additional Support Needs","All","S4","Ratio",0
"2008-2009","S01001855","All","Female","S4","Ratio",100
"2011-2012","S01001855","Additional Support Needs","All","S4","Ratio",0
"2010-2011","S01001855","All","Female","S4","Ratio",100
"2008-2009","S01001855","Additional Support Needs","All","S4","Ratio",0
"2011-2012","S01001855","All","Male","S4","Ratio",100
"2009-2010","S01001855","Additional Support Needs","All","S4","Ratio",0
"2009-2010","S01001855","All","Male","S4","Ratio",100
"2009-2010","S01001855","All","Female","S4","Ratio",100
"2010-2011","S01001855","All","Male","S4","Ratio",100
"2004-2005","S01001855","All","All","S4","Ratio",100
"2012-2013","S01001855","All","Male","S4","Ratio",100
"2008-2009","S01001856","All","All","S4","Count",6
"2009-2010","S01001856","All","All","S4","Count",6
"2011-2012","S01001856","All","All","S4","Count",11
"2012-2013","S01001856","All","All","S4","Count",9
"2002-2003","S01001856","All","All","S4","Count",2
"2010-2011","S01001856","Additional Support Needs","All","S4","Count",1
"2009-2010","S01001856","Additional Support Needs","All","S4","Count",0
"2008-2009","S01001856","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001856","Additional Support Needs","All","S4","Count",0
"2011-2012","S01001856","Additional Support Needs","All","S4","Count",6
"2003-2004","S01001856","All","All","S4","Count",6
"2004-2005","S01001856","All","All","S4","Count",5
"2005-2006","S01001856","All","All","S4","Count",2
"2006-2007","S01001856","All","All","S4","Count",4
"2007-2008","S01001856","All","All","S4","Count",6
"2010-2011","S01001856","All","Male","S4","Count",4
"2011-2012","S01001856","All","Male","S4","Count",7
"2009-2010","S01001856","All","Male","S4","Count",2
"2008-2009","S01001856","All","Male","S4","Count",4
"2012-2013","S01001856","All","Male","S4","Count",2
"2010-2011","S01001856","All","Female","S4","Count",2
"2012-2013","S01001856","All","Female","S4","Count",7
"2008-2009","S01001856","All","Female","S4","Count",2
"2011-2012","S01001856","All","Female","S4","Count",4
"2009-2010","S01001856","All","Female","S4","Count",4
"2010-2011","S01001856","All","All","S4","Count",6
"2010-2011","S01001856","All","All","S4","Ratio",100
"2012-2013","S01001856","All","Female","S4","Ratio",100
"2005-2006","S01001856","All","All","S4","Ratio","66.7"
"2008-2009","S01001856","All","All","S4","Ratio","85.7"
"2008-2009","S01001856","All","Male","S4","Ratio",80
"2009-2010","S01001856","All","All","S4","Ratio","85.7"
"2006-2007","S01001856","All","All","S4","Ratio",100
"2011-2012","S01001856","All","All","S4","Ratio","91.7"
"2011-2012","S01001856","All","Female","S4","Ratio",100
"2012-2013","S01001856","All","All","S4","Ratio",100
"2007-2008","S01001856","All","All","S4","Ratio",100
"2002-2003","S01001856","All","All","S4","Ratio","66.7"
"2003-2004","S01001856","All","All","S4","Ratio","85.7"
"2010-2011","S01001856","Additional Support Needs","All","S4","Ratio",100
"2008-2009","S01001856","All","Female","S4","Ratio",100
"2011-2012","S01001856","Additional Support Needs","All","S4","Ratio","85.7"
"2010-2011","S01001856","All","Female","S4","Ratio",100
"2008-2009","S01001856","Additional Support Needs","All","S4","Ratio",0
"2011-2012","S01001856","All","Male","S4","Ratio","87.5"
"2009-2010","S01001856","Additional Support Needs","All","S4","Ratio",0
"2009-2010","S01001856","All","Male","S4","Ratio",100
"2009-2010","S01001856","All","Female","S4","Ratio",80
"2010-2011","S01001856","All","Male","S4","Ratio",100
"2004-2005","S01001856","All","All","S4","Ratio","83.3"
"2012-2013","S01001856","All","Male","S4","Ratio",100
"2010-2011","S01001857","All","Male","S4","Count",2
"2010-2011","S01001857","All","Female","S4","Ratio",100
"2010-2011","S01001857","All","Male","S4","Ratio",100
"2010-2011","S01001857","Additional Support Needs","All","S4","Ratio",0
"2010-2011","S01001857","All","All","S4","Ratio",100
"2010-2011","S01001857","All","Female","S4","Count",5
"2010-2011","S01001857","Additional Support Needs","All","S4","Count",0
"2010-2011","S01001857","All","All","S4","Count",7
"2008-2009","S01001857","All","Male","S4","Count",5
"2008-2009","S01001857","All","Female","S4","Count",3
"2008-2009","S01001857","Additional Support Needs","All","S4","Count",1
"2008-2009","S01001857","All","All","S4","Count",8
"2008-2009","S01001857","All","All","S4","Ratio","88.9"
"2008-2009","S01001857","Additional Support Needs","All","S4","Ratio",100
"2008-2009","S01001857","All","Male","S4","Ratio",100
"2008-2009","S01001857","All","Female","S4","Ratio",75
"2009-2010","S01001857","Additional Support Needs","All","S4","Count",0
"2009-2010","S01001857","All","Female","S4","Ratio",100
"2009-2010","S01001857","All","Male","S4","Ratio",100
"2009-2010","S01001857","All","All","S4","Count",8
"2009-2010","S01001857","All","Male","S4","Count",3
"2009-2010","S01001857","All","Female","S4","Count",5
"2009-2010","S01001857","Additional Support Needs","All","S4","Ratio",0
"2009-2010","S01001857","All","All","S4","Ratio",100
"2011-2012","S01001857","All","Male","S4","Ratio",100
"2011-2012","S01001857","All","Female","S4","Count",2
"2011-2012","S01001857","All","All","S4","Ratio",80
"2011-2012","S01001857","Additional Support Needs","All","S4","Ratio",0
"2011-2012","S01001857","All","Female","S4","Ratio","66.7"
"2011-2012","S01001857","All","All","S4","Count",4
"2011-2012","S01001857","All","Male","S4","Count",2
"2011-2012","S01001857","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001857","All","Female","S4","Ratio","66.7"
"2012-2013","S01001857","All","Female","S4","Count",2
"2012-2013","S01001857","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001857","All","All","S4","Count",6
"2012-2013","S01001857","All","All","S4","Ratio","85.7"
"2012-2013","S01001857","All","Male","S4","Ratio",100
"2012-2013","S01001857","All","Male","S4","Count",4
"2002-2003","S01001857","All","All","S4","Count",9
"2002-2003","S01001857","All","All","S4","Ratio",100
"2003-2004","S01001857","All","All","S4","Ratio",100
"2003-2004","S01001857","All","All","S4","Count",7
"2004-2005","S01001857","All","All","S4","Ratio","72.7"
"2004-2005","S01001857","All","All","S4","Count",8
"2005-2006","S01001857","All","All","S4","Count",6
"2005-2006","S01001857","All","All","S4","Ratio",75
"2006-2007","S01001857","All","All","S4","Ratio",100
"2006-2007","S01001857","All","All","S4","Count",5
"2007-2008","S01001857","All","All","S4","Ratio","83.3"
"2007-2008","S01001857","All","All","S4","Count",10
"2005-2006","S01001858","All","All","S4","Count",11
"2010-2011","S01001858","Additional Support Needs","All","S4","Count",0
"2006-2007","S01001858","All","All","S4","Count",9
"2009-2010","S01001858","Additional Support Needs","All","S4","Count",0
"2007-2008","S01001858","All","All","S4","Count",5
"2010-2011","S01001858","All","All","S4","Count",6
"2010-2011","S01001858","All","Male","S4","Count",3
"2012-2013","S01001858","All","All","S4","Count",12
"2011-2012","S01001858","All","Male","S4","Count",0
"2008-2009","S01001858","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001858","Additional Support Needs","All","S4","Count",1
"2009-2010","S01001858","All","Male","S4","Count",2
"2009-2010","S01001858","All","All","S4","Count",6
"2012-2013","S01001858","All","Male","S4","Count",5
"2008-2009","S01001858","All","Male","S4","Count",2
"2011-2012","S01001858","Additional Support Needs","All","S4","Count",0
"2010-2011","S01001858","All","Female","S4","Count",3
"2002-2003","S01001858","All","All","S4","Count",3
"2009-2010","S01001858","All","Female","S4","Count",4
"2008-2009","S01001858","All","All","S4","Count",5
"2012-2013","S01001858","All","Female","S4","Count",7
"2003-2004","S01001858","All","All","S4","Count",10
"2011-2012","S01001858","All","All","S4","Count",3
"2008-2009","S01001858","All","Female","S4","Count",3
"2011-2012","S01001858","All","Female","S4","Count",3
"2004-2005","S01001858","All","All","S4","Count",3
"2010-2011","S01001858","All","All","S4","Ratio",100
"2008-2009","S01001858","All","All","S4","Ratio","83.3"
"2009-2010","S01001858","All","All","S4","Ratio",100
"2011-2012","S01001858","All","All","S4","Ratio",100
"2012-2013","S01001858","All","All","S4","Ratio",100
"2002-2003","S01001858","All","All","S4","Ratio",100
"2010-2011","S01001858","Additional Support Needs","All","S4","Ratio",0
"2009-2010","S01001858","Additional Support Needs","All","S4","Ratio",0
"2008-2009","S01001858","Additional Support Needs","All","S4","Ratio",0
"2012-2013","S01001858","Additional Support Needs","All","S4","Ratio",100
"2011-2012","S01001858","Additional Support Needs","All","S4","Ratio",0
"2003-2004","S01001858","All","All","S4","Ratio",100
"2004-2005","S01001858","All","All","S4","Ratio",75
"2005-2006","S01001858","All","All","S4","Ratio",100
"2006-2007","S01001858","All","All","S4","Ratio",100
"2007-2008","S01001858","All","All","S4","Ratio","83.3"
"2010-2011","S01001858","All","Male","S4","Ratio",100
"2011-2012","S01001858","All","Male","S4","Ratio",0
"2009-2010","S01001858","All","Male","S4","Ratio",100
"2012-2013","S01001858","All","Male","S4","Ratio",100
"2008-2009","S01001858","All","Male","S4","Ratio",100
"2010-2011","S01001858","All","Female","S4","Ratio",100
"2009-2010","S01001858","All","Female","S4","Ratio",100
"2012-2013","S01001858","All","Female","S4","Ratio",100
"2008-2009","S01001858","All","Female","S4","Ratio",75
"2011-2012","S01001858","All","Female","S4","Ratio",100
"2008-2009","S01001859","All","All","S4","Count",8
"2009-2010","S01001859","All","All","S4","Count",8
"2011-2012","S01001859","All","All","S4","Count",15
"2012-2013","S01001859","All","All","S4","Count",14
"2002-2003","S01001859","All","All","S4","Count",8
"2010-2011","S01001859","Additional Support Needs","All","S4","Count",1
"2009-2010","S01001859","Additional Support Needs","All","S4","Count",0
"2008-2009","S01001859","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001859","Additional Support Needs","All","S4","Count",0
"2011-2012","S01001859","Additional Support Needs","All","S4","Count",0
"2003-2004","S01001859","All","All","S4","Count",19
"2004-2005","S01001859","All","All","S4","Count",14
"2005-2006","S01001859","All","All","S4","Count",21
"2006-2007","S01001859","All","All","S4","Count",13
"2007-2008","S01001859","All","All","S4","Count",12
"2010-2011","S01001859","All","Male","S4","Count",6
"2011-2012","S01001859","All","Male","S4","Count",4
"2009-2010","S01001859","All","Male","S4","Count",5
"2008-2009","S01001859","All","Male","S4","Count",1
"2012-2013","S01001859","All","Male","S4","Count",5
"2010-2011","S01001859","All","Female","S4","Count",10
"2012-2013","S01001859","All","Female","S4","Count",9
"2008-2009","S01001859","All","Female","S4","Count",7
"2011-2012","S01001859","All","Female","S4","Count",11
"2009-2010","S01001859","All","Female","S4","Count",3
"2010-2011","S01001859","All","All","S4","Count",16
"2010-2011","S01001859","All","All","S4","Ratio","84.2"
"2012-2013","S01001859","All","Female","S4","Ratio",90
"2005-2006","S01001859","All","All","S4","Ratio",100
"2008-2009","S01001859","All","All","S4","Ratio","72.7"
"2008-2009","S01001859","All","Male","S4","Ratio",50
"2009-2010","S01001859","All","All","S4","Ratio",80
"2006-2007","S01001859","All","All","S4","Ratio","92.9"
"2011-2012","S01001859","All","All","S4","Ratio","83.3"
"2011-2012","S01001859","All","Female","S4","Ratio","91.7"
"2012-2013","S01001859","All","All","S4","Ratio","93.3"
"2007-2008","S01001859","All","All","S4","Ratio","85.7"
"2002-2003","S01001859","All","All","S4","Ratio","88.9"
"2003-2004","S01001859","All","All","S4","Ratio","86.4"
"2010-2011","S01001859","Additional Support Needs","All","S4","Ratio",50
"2008-2009","S01001859","All","Female","S4","Ratio","77.8"
"2011-2012","S01001859","Additional Support Needs","All","S4","Ratio",0
"2010-2011","S01001859","All","Female","S4","Ratio","83.3"
"2008-2009","S01001859","Additional Support Needs","All","S4","Ratio",0
"2011-2012","S01001859","All","Male","S4","Ratio","66.7"
"2009-2010","S01001859","Additional Support Needs","All","S4","Ratio",0
"2009-2010","S01001859","All","Male","S4","Ratio","71.4"
"2009-2010","S01001859","All","Female","S4","Ratio",100
"2010-2011","S01001859","All","Male","S4","Ratio","85.7"
"2004-2005","S01001859","All","All","S4","Ratio",70
"2012-2013","S01001859","All","Male","S4","Ratio",100
